File,First Affinity
S10191_out,-8.49
S10245_out,-8.42
S10269_out,-8.52
S10359_out,-8.95
S10390_out,-8.53
S10512_out,-8.31
S10753_out,-8.17
S10778_out,-8.35
S11091_out,-8.52
S11313_out,-8.83
S11355_out,-8.55
S11461_out,-8.27
S11647_out,-8.2
S11726_out,-8.27
S11835_out,-8.32
S12110_out,-8.58
S12173_out,-8.66
S12290_out,-8.32
S12369_out,-8.15
S12455_out,-8.35
S1253_out,-8.22
S12805_out,-8.54
S12864_out,-9.11
S12889_out,-8.83
S12961_out,-8.63
S13301_out,-8.11
S1340_out,-8.2
S13551_out,-8.57
S13557_out,-8.26
S13700_out,-8.17
S13703_out,-8.15
S13837_out,-9.03
S13898_out,-8.97
S1433_out,-8.14
S1448_out,-8.15
S14767_out,-8.17
S1485_out,-8.54
S15564_out,-9.03
S15612_out,-8.34
S15654_out,-8.25
S15670_out,-8.2
S1578_out,-8.49
S1630_out,-8.11
S16673_out,-8.48
S17263_out,-8.2
S17612_out,-8.25
S17727_out,-8.14
S17788_out,-8.45
S1782_out,-8.75
S18050_out,-8.58
S18207_out,-8.6
S18337_out,-8.2
S18467_out,-8.62
S18479_out,-8.52
S18528_out,-8.15
S18759_out,-8.26
S18787_out,-8.12
S1890_out,-8.44
S1904_out,-8.27
S19254_out,-8.33
S19386_out,-8.16
S19443_out,-8.43
S19464_out,-8.11
S19542_out,-8.27
S19695_out,-8.29
S20128_out,-8.23
S20249_out,-8.11
S20320_out,-8.2
S20356_out,-8.88
S20900_out,-8.37
S2234_out,-8.38
S22428_out,-8.25
S22787_out,-8.29
S22948_out,-8.2
S23134_out,-8.59
S24512_out,-8.72
S24725_out,-8.52
S24790_out,-8.5
S24806_out,-8.15
S25251_out,-8.77
S25421_out,-8.39
S26291_out,-8.58
S2676_out,-8.21
S26968_out,-8.12
S27343_out,-8.1
S27501_out,-8.42
S27595_out,-8.79
S2807_out,-8.27
S28121_out,-8.81
S29153_out,-8.26
S29590_out,-8.65
S2962_out,-9.17
S29883_out,-8.46
S30992_out,-8.82
S31221_out,-8.34
S31385_out,-8.64
S31573_out,-8.11
S31614_out,-8.3
S31939_out,-8.59
S32111_out,-8.67
S32192_out,-8.18
S32516_out,-8.48
S3332_out,-8.1
S33390_out,-8.32
S33510_out,-8.37
S33815_out,-8.17
S34014_out,-8.11
S343_out,-8.4
S34437_out,-8.47
S3548_out,-8.24
S35725_out,-8.13
S35813_out,-8.25
S35887_out,-8.73
S35982_out,-8.13
S3973_out,-8.15
S4031_out,-8.17
S4252_out,-8.15
S4385_out,-8.2
S4387_out,-9.06
S4429_out,-8.11
S4567_out,-8.48
S456_out,-8.95
S469_out,-9.06
S4984_out,-8.46
S504_out,-8.29
S5055_out,-8.89
S5156_out,-8.43
S5164_out,-8.38
S526_out,-8.21
S529_out,-8.28
S558_out,-8.23
S5741_out,-8.29
S5751_out,-8.23
S600_out,-8.37
S6241_out,-8.99
S6370_out,-8.45
S6374_out,-8.13
S6483_out,-8.31
S6549_out,-8.41
S6674_out,-8.74
S6780_out,-8.17
S6828_out,-8.66
S6893_out,-8.23
S701_out,-8.9
S7058_out,-8.17
S7076_out,-8.24
S7112_out,-8.73
S712_out,-8.11
S7162_out,-9.55
S7454_out,-8.16
S7524_out,-8.11
S7692_out,-8.61
S7968_out,-8.5
S7980_out,-8.22
S8007_out,-8.13
S85_out,-8.66
S8614_out,-9.05
S89_out,-8.49
S9149_out,-8.43
S9288_out,-8.35
S931_out,-9.29
S9622_out,-8.18
S9867_out,-8.41
S9912_out,-8.1
S997_out,-8.16
